salesPersonID,product,amount
4,4,11.19
3,2,48.63
2,1,27.5
4,1,7.04
4,5,37.14
1,5,20.3
3,6,10.41
2,6,29.06
3,6,38.56
1,4,6.19
1,1,11.79
2,3,10.94
4,6,6.16
2,2,29.6
3,5,11.09
1,1,5.22
4,6,32.18
1,5,37.28
2,4,49.95
4,6,44.18
3,6,30.63
3,6,2.11
2,1,26.84
1,5,8.63
4,1,23.56
3,4,32.66
2,1,47.69
2,2,8.81
3,1,49.8
1,3,24.59
2,2,49.71
1,3,0.69
3,4,39.82
2,3,12.95
2,3,40.22
4,6,7.49
3,5,10.54
1,5,27.14
4,3,17.44
3,5,31.29
4,3,3.89
2,6,28.78
4,2,8.8
2,2,33.45
2,6,26.7
1,5,11.85
4,5,18.3
3,3,7.77
4,1,32.26
2,4,1.93
1,5,26.82
2,5,31.88
3,4,37.39
4,1,41.35
3,2,18.12
4,4,42.92
2,3,26.78
1,2,27.12
1,4,3.63
3,1,37.57
3,5,39.88
2,5,32.98
4,2,42.27
4,3,0.99
2,4,47.52
4,3,37.57
4,1,17.77
3,4,30.58
3,3,11.54
4,4,46.55
3,2,4.04
3,4,7.14
4,6,36.57
2,5,45.58
3,6,7.27
4,3,48.54
2,5,2.13
1,2,49.85
1,4,16.89
4,1,42.49
4,3,18.37
1,2,38.4
3,3,12.13
4,5,24.15
2,3,25.45
3,5,43.62
3,3,47.46
4,6,36.89
1,1,14.2
2,6,20.85
2,5,2.58
2,5,34.66
1,2,9.17
2,4,42.9
1,6,19.6
3,1,11.24
4,5,5.85
4,4,1.72
2,4,35.67
1,1,0.86
1,5,20.99
3,6,45.24
1,6,9.45
4,1,42
3,3,27.43
1,4,37.81
3,6,48.53
2,6,39.09
1,1,7.86
4,4,16.97
2,5,26.59
2,3,11.7
3,6,1.13
2,3,24.39
2,6,17.31
1,4,5.39
4,5,40.03
2,3,19.2
1,3,47.06
3,3,37
4,4,35.61
1,4,21.2
4,6,42.65
1,5,4.07
4,6,25.98
4,4,3.49
4,1,12.1
1,1,12.15
2,4,44.78
3,3,1.13
1,5,41.84
2,1,34.18
1,3,4.41
1,4,1.31
1,3,13.07
3,1,26.49
1,5,49.37
3,6,48.73
3,2,0.81
1,5,41.04
1,6,39.01
1,6,35.1
1,1,19.83
2,6,18.54
3,1,6.98
3,6,42.07
2,3,0.57
4,6,6.92
1,2,31.44
4,3,6.47
1,1,13.73
1,3,45.25
1,6,28.61
2,4,30.19
4,6,48.34
4,1,15.04
4,1,11.23
3,6,4.81
2,1,7.43
2,4,38.98
1,1,48.94
1,6,9.36
1,6,49.67
2,4,1.3
2,2,0.21
4,6,9.29
1,2,21.62
